,Annualized Return (net),Annualized Volatility,Sharpe Ratio (net),Sortino Ratio (net),Max Drawdown (net),Avg Monthly Turnover,Avg Transaction Cost
GA (adaptive K),0.03994618969142949,0.1696417550668741,0.23547380581910624,0.23714754955243225,-0.44952902052593924,0.21344567773850828,0.0006403370332155248
Constrained MVO,0.07574655392187686,0.13594892777746778,0.5571691896376333,0.550618112017541,-0.40459794108380037,0.23641386452262123,0.0007092415935678637
Unconstrained MVO,0.0761957014334118,0.13594521985343397,0.5604882725230085,0.5489741254233516,-0.3866902850379113,0.23638792667683778,0.0007091637800305133
1/N (~867 stocks),0.09145969925118208,0.17380069951223057,0.5262332056652392,0.4863785140973823,-0.5212997009316452,0.046685768110920116,0.00014005730433276034
