,Annualized Return (net),Annualized Volatility,Sharpe Ratio (net),Sortino Ratio (net),Max Drawdown (net),Avg Monthly Turnover,Avg Transaction Cost
GA (adaptive K),0.05459639860830841,0.19918024789513794,0.2741054857861793,0.2725604286299055,-0.5575639719694938,0.22188030995110336,0.00066564092985331
Constrained MVO,0.08282888548319872,0.1425653674804923,0.5809888260171775,0.5958497618584473,-0.4306926588385065,0.17071358136855674,0.0005121407441056703
Unconstrained MVO,0.0828264005063678,0.14257279672228032,0.5809411220831039,0.5957739167582078,-0.4306907940627367,0.17069362409067249,0.0005120808722720175
1/N (~867 stocks),0.09126675053389449,0.17198800698251368,0.5306576437226448,0.49246505527973594,-0.5131036278264223,0.04501146829143561,0.00013503440487430682
