,Avg Portfolio Size (K),Avg HHI,Avg Monthly Turnover,Avg Transaction Cost
GA (adaptive K),14.412698412698413,0.09569958402937942,0.21344567773850828,0.0006403370332155248
Constrained MVO,29.71825396825397,0.06459264658270142,0.23641386452262123,0.0007092415935678637
Unconstrained MVO,29.41269841269841,0.06763938216450908,0.23638792667683778,0.0007091637800305133
1/N (~867 stocks),867.3531746031746,0.0011794767188221958,0.046685768110920116,0.00014005730433276034
