K (target),Sharpe (net),Ann Return,Ann Vol,Max Drawdown,Avg Turnover,Avg Cost,Avg HHI,Avg K (actual)
10,0.26317442335550517,0.055230806241229835,0.20986388242835488,-0.4574245100833123,0.2323954169820863,0.0006971862509462589,0.11548210138342736,10.0
15,0.32540549802653723,0.06275022198535637,0.1928370060306695,-0.5463577556202047,0.2021480137431891,0.0006064440412295673,0.08847881330054815,15.0
20,0.3051190471138113,0.05700393339772177,0.18682522096517606,-0.5792927720795376,0.19009177320769538,0.0005702753196230862,0.07161174702862944,20.0
25,0.44003266621015674,0.07987572070762186,0.1815222524172188,-0.5458234708984112,0.18691549087190057,0.0005607464726157018,0.056698618722437685,25.0
30,0.436291214444504,0.07348220497882194,0.1684246726636042,-0.5019415172000905,0.1958663881409675,0.0005875991644229024,0.04396108203063369,30.0
