,Avg Portfolio Size (K),Avg HHI,Avg Monthly Turnover,Avg Transaction Cost
GA (adaptive K),16.253968253968253,0.08658129575420148,0.22188030995110336,0.00066564092985331
Constrained MVO,62.04365079365079,0.03392242706717528,0.17071358136855674,0.0005121407441056703
Unconstrained MVO,62.285714285714285,0.03392297699441035,0.17069362409067249,0.0005120808722720175
1/N (~867 stocks),869.6309523809524,0.0011762890623212173,0.04501146829143561,0.00013503440487430682
