Comparison,Mean Diff (ann.),t-stat,t p-value,t Sig.,SR(GA),SR(Bench),SR Diff,z-stat,JK p-value,JK Sig.
GA vs 1/N,-0.03667035192558607,-1.1390826784145662,0.2557546118851505,False,0.27410548578617927,0.5306576437226448,-0.25655215793646546,-1.5076665853941138,0.13163988165648188,False
GA vs Unconstrained MVO,-0.028230001898059392,-1.2705099265831568,0.20507941811861316,False,0.27410548578617927,0.5809411220831038,-0.3068356362969245,-2.8431953696256893,0.004466368297431966,True
GA vs Constrained MVO,-0.028232486874890314,-1.2705367938354903,0.2050698696100575,False,0.27410548578617927,0.5809888260171774,-0.3068833402309981,-2.843446496425427,0.0044628501671037935,True
