Lambda,Sharpe (net),Ann Return,Ann Vol,Max Drawdown,Avg Turnover,Avg K
0 (no turnover penalty),0.4993,8.43%,16.87%,-45.46%,57.12%,25.1
1.8437 (tuned),0.2741,5.46%,19.91%,-55.76%,22.19%,16.3
